name_x,address,lat,lng,rating,user_ratings_total,neighborhood,name_y,population_b01001_001e,store_count,people_per_store
Village Market,"30 Corinth Street, Roslindale",42.2861801,-71.1294617,4.0,358.0,Roslindale,Roslindale,29378.0,3,9792.666666666666
Happy Market & Spirits,"128 South Street, Jamaica Plain",42.3056051,-71.1144618,4.5,450.0,Jamaica Plain,Jamaica Plain,42949.0,4,10737.25
Target Grocery,"4165 Washington Street, Roslindale",42.2883138,-71.1266584,4.1,80.0,Roslindale,Roslindale,29378.0,3,9792.666666666666
Yessenia's Market,"3348 Washington Street, Jamaica Plain",42.3093344,-71.1045173,4.5,35.0,Jamaica Plain,Jamaica Plain,42949.0,4,10737.25
Green Basket Market,"186 Green Street, Jamaica Plain",42.3099932,-71.1056995,3.7,70.0,Jamaica Plain,Jamaica Plain,42949.0,4,10737.25
Brother's Supermarket - American Legion,"606 American Legion Highway, Roslindale",42.28564120000001,-71.109619,4.0,43.0,Roslindale,Roslindale,29378.0,3,9792.666666666666
Tropics Food Market,"1007 Blue Hill Avenue, Dorchester Center",42.28999719999999,-71.0898855,4.4,145.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
La Bamba Super Market,"1 Lorne Street, Boston",42.2934217,-71.0896577,4.1,60.0,Boston,,673000.0,42,16023.809523809523
Happy Supermarket Inc,"868 Blue Hill Avenue, Boston",42.2952371,-71.0874961,4.2,747.0,Boston,,673000.0,42,16023.809523809523
Rosa's Family Market,"696 Blue Hill Avenue, Boston",42.3007479,-71.0857244,4.3,51.0,Boston,,673000.0,42,16023.809523809523
Erie Street Market,"107-111 Erie Street, Boston",42.3014923,-71.0828892,4.2,63.0,Boston,,673000.0,42,16023.809523809523
Brother's Supermarket Washington St.,"46 Washington Street, Dorchester",42.3070956,-71.08208789999999,4.3,354.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
3D Supermarket,"125 Harvard Street, Boston",42.2966736,-71.079825,,,Boston,,673000.0,42,16023.809523809523
La Peraviana,"3095 Washington Street, Roxbury",42.3153879,-71.09891859999999,4.5,23.0,Roxbury,Roxbury,56800.0,6,9466.666666666666
MaMa SuperMarket,"1178 Blue Hill Avenue, Mattapan",42.2840195,-71.0912704,3.9,13.0,Mattapan,Mattapan,24424.0,1,24424.0
America's Food Basket,"130 Bowdoin Street, Dorchester",42.304003,-71.0712727,4.0,366.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Caribbean,"558 Washington Street, Dorchester Center",42.29209669999999,-71.0716111,3.7,12.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
America's Food Basket of Washington St,"576 Washington Street, Dorchester",42.2915105,-71.0713423,4.2,479.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
America's Food Basket of Bowdoin St,"217 Bowdoin Street, Dorchester",42.3055081,-71.0674657,4.0,335.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Foodland Supermarket,"197 Adams Street, Boston",42.3019999,-71.06027279999999,3.9,140.0,Boston,,673000.0,42,16023.809523809523
Maria Market,"1760 Dorchester Avenue, Boston",42.2899275,-71.0630255,4.0,42.0,Boston,,673000.0,42,16023.809523809523
El Primo Market,"230 Columbia Road, Dorchester",42.3075954,-71.07631099999999,3.6,33.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Dominican Fruts,"246 Talbot Avenue, Boston",42.29172949999999,-71.0764263,4.0,6.0,Boston,,673000.0,42,16023.809523809523
Brother's Supermarket - Geneva Ave,"430 Geneva Avenue, Dorchester",42.3005844,-71.0663747,4.3,147.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Target Grocery,"500 Geneva Avenue, Dorchester",42.2991393,-71.0625909,3.5,4.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Truong Thinh Supermarket,"1305 Dorchester Avenue, Boston",42.3063241,-71.05899409999999,4.0,452.0,Boston,,673000.0,42,16023.809523809523
Vicente’s Supermarket,"416 Warren Street, Roxbury",42.3168248,-71.08218269999999,5.0,1.0,Roxbury,Roxbury,56800.0,6,9466.666666666666
Phú Cường Market,"1188 Dorchester Avenue, Dorchester",42.3100501,-71.05729819999999,4.2,778.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Acropólis Supermarket,"533 Columbia Road, Boston",42.3156566,-71.06598009999999,4.3,6.0,Boston,,673000.0,42,16023.809523809523
St Mary's Episcopal Church Food Pantry,"14 Cushing Avenue, Dorchester",42.31628679999999,-71.064308,3.8,5.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Brother's Supermarket - Dudley Street,"776 Dudley Street, Dorchester",42.31748029999999,-71.0656991,4.3,888.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Whole Foods Market,"413 Centre Street, Jamaica Plain",42.32158440000001,-71.11096309999999,4.1,1379.0,Jamaica Plain,Jamaica Plain,42949.0,4,10737.25
Price Rite of Roxbury,"330 Martin Luther King Jr Boulevard, Roxbury",42.3191446,-71.08227579999999,4.2,735.0,Roxbury,Roxbury,56800.0,6,9466.666666666666
Punjab Mini Mart,"1576 Tremont Street, Boston",42.3332298,-71.1024065,2.7,184.0,Boston,,673000.0,42,16023.809523809523
Blue Hill HALAL Market,"20 Blue Hill Avenue, Roxbury",42.32448600000001,-71.0753971,4.9,54.0,Roxbury,Roxbury,56800.0,6,9466.666666666666
Davey's Super Market,"438 Dudley Street, Roxbury",42.3242123,-71.0738939,4.7,19.0,Roxbury,Roxbury,56800.0,6,9466.666666666666
Tropical Foods (El Platanero),"450 Melnea Cass Boulevard, Roxbury",42.33335659999999,-71.0822869,4.3,2729.0,Roxbury,Roxbury,56800.0,6,9466.666666666666
Target Grocery,"7 Allstate Road, Dorchester",42.329239,-71.06317159999999,4.3,320.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Euromart,"808 Dorchester Avenue, Boston",42.3233008,-71.056698,4.6,241.0,Boston,,673000.0,42,16023.809523809523
Dorchester Market,"951 Dorchester Avenue, Dorchester",42.3183796,-71.056941,4.6,66.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Bell's Market,"246 Dorchester Street, South Boston",42.33251839999999,-71.051323,4.3,206.0,South Boston,South Boston,40904.0,3,13634.666666666666
Star Market,"45 Morrissey Boulevard, Dorchester",42.3186882,-71.0504916,4.1,1854.0,Dorchester,Dorchester,123056.0,15,8203.733333333334
Llanera Super Market,"260 East 8th Street, South Boston",42.3322515,-71.04994,4.3,62.0,South Boston,South Boston,40904.0,3,13634.666666666666
South Boston Market,"636 Dorchester Avenue, South Boston",42.32809899999999,-71.05679239999999,4.4,50.0,South Boston,South Boston,40904.0,3,13634.666666666666
Star Market,"33 Kilmarnock Street, Boston",42.3435214,-71.1004083,4.1,1876.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"15 Washington Street, Brighton",42.3427052,-71.1405568,4.2,1372.0,Brighton,Brighton,55869.0,2,27934.5
Star Market,"1065 Commonwealth Avenue, Boston",42.352627,-71.12336669999999,4.2,1693.0,Boston,,673000.0,42,16023.809523809523
Allston Market,"169 Harvard Avenue, Allston",42.35139110000001,-71.13172089999999,3.9,195.0,Allston,Allston,31810.0,4,7952.5
Target Grocery,"860 Commonwealth Avenue, Boston",42.3505926,-71.1140487,4.6,26.0,Boston,,673000.0,42,16023.809523809523
Target Grocery,"1341 Boylston Street, Boston",42.3446572,-71.0995726,3.6,7.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"899 Boylston Street, Boston",42.3484027,-71.0841906,4.5,2119.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"15 Westland Avenue, Boston",42.3438346,-71.0873245,4.3,1405.0,Boston,,673000.0,42,16023.809523809523
Symphony Market / Halal / postmate,"291 Huntington Avenue, Boston",42.3415202,-71.0868242,3.7,79.0,Boston,,673000.0,42,16023.809523809523
Star Market,"53 Huntington Avenue, Boston",42.3477181,-71.0797151,4.2,1969.0,Boston,,673000.0,42,16023.809523809523
Wollaston's Market,"369 Huntington Avenue, Boston",42.340294,-71.0906471,4.3,236.0,Boston,,673000.0,42,16023.809523809523
South End Food Emporium,"469 Columbus Avenue, Boston",42.3434266,-71.07852640000002,4.3,130.0,Boston,,673000.0,42,16023.809523809523
Foodie's Markets,"1421 Washington Street, Boston",42.34111679999999,-71.0707731,4.1,656.0,Boston,,673000.0,42,16023.809523809523
New Ming,"1102 Washington Street, Boston",42.3442288,-71.0656277,4.0,816.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"348 Harrison Avenue, Boston",42.345449,-71.0627816,4.4,2215.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"500 Boylston Street, Boston",42.350886,-71.0737444,4.7,180.0,Boston,,673000.0,42,16023.809523809523
Jia Ho Supermarket,"692 Washington Street, Boston",42.351266,-71.0627842,4.2,929.0,Boston,,673000.0,42,16023.809523809523
Foodie's Markets South Boston,"230 West Broadway, Boston",42.3397308,-71.05195210000001,3.4,163.0,Boston,,673000.0,42,16023.809523809523
Roche Bros. Downtown Crossing,"8 Summer Street, Boston",42.3553517,-71.0600681,4.3,1474.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"44 Thomson Place, Boston",42.3517967,-71.0473514,4.7,855.0,Boston,,673000.0,42,16023.809523809523
Trader Joe's,"199 North Harvard Street, Allston",42.3635097,-71.1298352,4.7,703.0,Allston,Allston,31810.0,4,7952.5
Bazaar on Cambridge,"424 Cambridge Street, Allston",42.3545877,-71.1344929,4.3,608.0,Allston,Allston,31810.0,4,7952.5
Star Market,"370 Western Avenue, Brighton",42.36092549999999,-71.1375414,4.1,1070.0,Brighton,Brighton,55869.0,2,27934.5
Cheema Supermarket,"562 Cambridge Street, Boston",42.352351,-71.1403629,4.2,394.0,Boston,,673000.0,42,16023.809523809523
Mayfair Foods,"506 Cambridge Street, Allston",42.35317510000001,-71.1379915,4.5,86.0,Allston,Allston,31810.0,4,7952.5
Whole Foods Market,"181 Cambridge Street, Boston",42.36203809999999,-71.0655752,4.3,1432.0,Boston,,673000.0,42,16023.809523809523
Target Grocery,"100 Cambridge Street Ste 2, Boston",42.3609879,-71.0626207,3.5,16.0,Boston,,673000.0,42,16023.809523809523
Star Market,"90 Causeway Street, Boston",42.3649898,-71.0622667,4.2,647.0,Boston,,673000.0,42,16023.809523809523
Tropics Int'l Foods LLC,"One Boston Place, Boston",42.35851329999999,-71.0584124,1.3,3.0,Boston,,673000.0,42,16023.809523809523
Going Bananas,"65 Salem Street, Boston",42.36343189999999,-71.05613749999999,4.1,46.0,Boston,,673000.0,42,16023.809523809523
Whole Foods Market,"27 Austin Street, Charlestown",42.37558279999999,-71.06614809999999,4.3,1188.0,Charlestown,Charlestown,19232.0,1,19232.0
Shaw's,"246 Border Street, East Boston",42.3766061,-71.0405298,4.1,1690.0,East Boston,East Boston,46892.0,5,9378.4
Maverick Street Market,"207 Maverick Street, Boston",42.3687449,-71.036281,4.3,35.0,Boston,,673000.0,42,16023.809523809523
Bella's Market,"75 Maverick Square, East Boston",42.3698404,-71.0385206,4.2,59.0,East Boston,East Boston,46892.0,5,9378.4
Los Paisanos Market LLC,"11 Meridian Street, Boston",42.3705275,-71.03881950000002,4.2,29.0,Boston,,673000.0,42,16023.809523809523
Portillo Brothers Market,"60 Maverick Street, Boston",42.3712058,-71.04093379999999,4.8,21.0,Boston,,673000.0,42,16023.809523809523
Diana's Market,"170 Cottage Street #3r, Boston",42.3701891,-71.0327794,4.6,24.0,Boston,,673000.0,42,16023.809523809523
Jacqueline Grocery Store,"129 London Street, Boston",42.3734268,-71.0387075,4.2,13.0,Boston,,673000.0,42,16023.809523809523
Sava's Market,"150 Bennington Street, Boston",42.3770083,-71.0335722,4.3,111.0,Boston,,673000.0,42,16023.809523809523
bp,"331 Bennington Street, East Boston",42.37903000000001,-71.02738,3.6,40.0,East Boston,East Boston,46892.0,5,9378.4
ElSol Food Market,"353 Chelsea Street, East Boston",42.37830779999999,-71.0288235,4.0,10.0,East Boston,East Boston,46892.0,5,9378.4
Orient Heights Food Market,"1016 Bennington Street, East Boston",42.3871157,-71.0062476,4.0,50.0,East Boston,East Boston,46892.0,5,9378.4
